OBJECTID,X_Origin,Y_Origin,X_Projected,Y_Projected
53,113.631323,22.56295437,113.64281285155,22.566261544352
54,113.6323046,22.56295437,113.64378938967,22.566262766472
55,113.6332863,22.56295437,113.64477939678,22.566268552124
56,113.634268,22.56295437,113.64575764561,22.566268262042
57,113.6352496,22.56295437,113.64674096308,22.566274944881
58,113.6362313,22.56295437,113.64771902993,22.5662774749
59,113.637213,22.56295437,113.64870350972,22.566273402331
60,113.6381946,22.56295437,113.64968410313,22.566274955069
61,113.6391763,22.56295437,113.65067491466,22.566273413132
62,113.640158,22.56295437,113.65165640125,22.566272108574
63,113.6411396,22.56295437,113.6526402297,22.566267484412
64,113.6421213,22.56295437,113.65362503948,22.566258743528
65,113.643103,22.56295437,113.65460350593,22.566258706165
66,113.6440846,22.56295437,113.65559652309,22.566246885594
67,113.6450663,22.56295437,113.65657340736,22.566244707133
68,113.646048,22.56295437,113.65756294224,22.566237569672
69,113.6303413,22.56385031,113.64182818314,22.567149345176
70,113.631323,22.56385031,113.64281268268,22.5671558202
71,113.6323046,22.56385031,113.64379573365,22.567162757112
72,113.6332863,22.56385031,113.6447773303,22.567163912295
73,113.634268,22.56385031,113.64576073479,22.567166341428
74,113.6352496,22.56385031,113.64673726308,22.567165698488
75,113.6362313,22.56385031,113.64772157057,22.567169039215
76,113.637213,22.56385031,113.64870958724,22.567173368687
77,113.6381946,22.56385031,113.64968692027,22.567170856756
78,113.6391763,22.56385031,113.65066877142,22.567167448982
79,113.640158,22.56385031,113.65165975773,22.56716366307
80,113.6411396,22.56385031,113.65263896683,22.567156078477
81,113.6421213,22.56385031,113.65362867491,22.56715653241
82,113.643103,22.56385031,113.65461175074,22.567147233655
83,113.6440846,22.56385031,113.65559744269,22.56714496359
84,113.6450663,22.56385031,113.65657731465,22.567141130242
85,113.646048,22.56385031,113.6575673856,22.567126116757
86,113.6470296,22.56385031,113.65854348319,22.567121071578
87,113.6293597,22.56474624,113.64084640835,22.56804631593
88,113.6303413,22.56474624,113.64182585376,22.568052835398
89,113.631323,22.56474624,113.64281034604,22.568052801607
90,113.6323046,22.56474624,113.64378987026,22.56805837616
91,113.6332863,22.56474624,113.64477336616,22.568061711057
92,113.634268,22.56474624,113.64575649686,22.56806251656
93,113.6352496,22.56474624,113.64673872143,22.568062148056
94,113.6362313,22.56474624,113.64772655661,22.568065755362
95,113.637213,22.56474624,113.64870643311,22.568070640981
96,113.6381946,22.56474624,113.64969407259,22.568061047172
97,113.6391763,22.56474624,113.6506756606,22.568064689234
98,113.640158,22.56474624,113.6516549693,22.568057969636
99,113.6411396,22.56474624,113.65263880446,22.568060402712
100,113.6421213,22.56474624,113.65362144443,22.568055206054
101,113.643103,22.56474624,113.65461157951,22.568043148746
102,113.6440846,22.56474624,113.65559672707,22.568040070071
103,113.6450663,22.56474624,113.65657442203,22.568033544393
104,113.646048,22.56474624,113.65756884842,22.568025545671
105,113.6470296,22.56474624,113.65855228047,22.568015267557
106,113.6480113,22.56474624,113.65953450545,22.568012418911
107,113.6489929,22.56474624,113.66051794223,22.567995295817
108,113.6293597,22.56564217,113.64085354736,22.568937099274
109,113.6303413,22.56564217,113.64183299684,22.568946597769
110,113.631323,22.56564217,113.64281396913,22.568949531041
111,113.6323046,22.56564217,113.64379539229,22.568955650461
112,113.6332863,22.56564217,113.64477482208,22.568959788798
113,113.634268,22.56564217,113.64575877015,22.568964121507
114,113.6352496,22.56564217,113.64673828379,22.568965380454
115,113.6362313,22.56564217,113.64772610852,22.568958950085
116,113.637213,22.56564217,113.64870978025,22.568960030385
117,113.6381946,22.56564217,113.64969634469,22.568960476562
118,113.6391763,22.56564217,113.65067711628,22.568961950015
119,113.640158,22.56564217,113.65165452609,22.56895686701
120,113.6411396,22.56564217,113.65264324412,22.568954118348
121,113.6421213,22.56564217,113.65362235422,22.56894948441
122,113.643103,22.56564217,113.65461113765,22.56894394888
123,113.6440846,22.56564217,113.65559274949,22.56893764447
124,113.6450663,22.56564217,113.65657588183,22.568934058254
125,113.646048,22.56564217,113.65756486584,22.568919600622
126,113.6470296,22.56564217,113.65855129131,22.568913093161
127,113.6480113,22.56564217,113.65953595385,22.568901264676
128,113.6489929,22.56564217,113.66051913075,22.568895811315
129,113.6499746,22.56564217,113.66150842112,22.568887988153
130,113.628378,22.5665381,113.63986515297,22.569826112851
131,113.6293597,22.5665381,113.6408536471,22.569840054631
132,113.6303413,22.5665381,113.641836345,22.56984576921
133,113.631323,22.5665381,113.64281812959,22.569847346425
134,113.6323046,22.5665381,113.64380063346,22.569849124411
135,113.6332863,22.5665381,113.64477545852,22.569857864111
136,113.634268,22.5665381,113.64576374514,22.569861114525
137,113.6352496,22.5665381,113.64674081606,22.569860471183
138,113.6362313,22.5665381,113.64773108777,22.569858648846
139,113.637213,22.5665381,113.64871231506,22.569857017377
140,113.6381946,22.5665381,113.64968802012,22.569855053003
141,113.6391763,22.5665381,113.65067639365,22.56985867551
142,113.640158,22.5665381,113.65165841917,22.569853571747
143,113.6411396,22.5665381,113.65264794782,22.56984620334
144,113.6421213,22.5665381,113.6536237997,22.569842130122
