OBJECTID,X_WGS84,Y_WGS84,X_BD09,Y_BD09
103,113.0434757,23.4492663,113.0553597,23.4530983
104,113.7172789,23.80065633,113.7290682,23.8038849
105,113.2879195,23.02321757,113.299702,23.02678258
106,113.41636,23.7108192,113.4283901,23.71453003
107,113.6199022,23.4213639,113.6314698,23.42484278
108,113.1712935,23.38310751,113.1831708,23.38681965
109,113.6242648,23.15801691,113.6357859,23.16147488
110,113.7706461,23.33666143,113.7823073,23.34028518
111,113.4192628,23.61000125,113.4312807,23.61367421
112,113.4114683,23.22520335,113.4234556,23.22896065
113,113.8183517,23.34894111,113.8300107,23.35192662
114,113.6688774,23.59516102,113.6805514,23.59840381
115,113.6361131,23.32179855,113.6476678,23.32537348
116,113.6658649,23.53093853,113.6775393,23.5342345
117,113.5509927,22.65110018,113.5626083,22.65400101
118,113.4345385,22.79680418,113.4465438,22.79998206
119,113.3594389,23.04213558,113.3714418,23.04548171
120,113.1887035,23.50767265,113.2006181,23.5110767
121,113.2607301,23.21291633,113.2725224,23.21653004
122,113.4531186,23.19290651,113.4651768,23.19604569
123,113.9187591,23.41987993,113.9302401,23.42289193
124,113.9223936,23.49304484,113.9338574,23.49601458
125,113.016535,23.41165637,113.028355,23.41531195
126,113.9119212,23.83176888,113.9233892,23.83483044
127,113.3397699,23.58739176,113.3518189,23.59059115
128,113.5482716,22.7903642,113.5599026,22.79335638
129,113.4285079,23.69288356,113.4405771,23.69638466
130,113.6813835,23.66557123,113.6931485,23.66863962
131,113.5434958,23.3020977,113.5551926,23.30539324
132,113.3328264,23.6475405,113.3448828,23.65071556
133,113.3900453,22.89563364,113.4019707,22.89936965
134,113.7605316,23.87061472,113.7721957,23.87428644
135,113.4807719,23.60754052,113.4926808,23.61094236
136,113.471533,23.2543226,113.4834758,23.25755843
137,113.8052086,23.15533349,113.816881,23.15832362
138,113.9476232,23.38161408,113.9591034,23.38460964
139,113.7897838,23.71416111,113.8014771,23.71744115
140,113.5251462,23.0642884,113.5368241,23.06780484
141,113.6412409,23.5876893,113.6527972,23.59127717
142,113.526197,23.18996093,113.5378888,23.19351575
143,113.286982,23.46085432,113.2988083,23.46456467
144,113.7467077,23.4622885,113.7583694,23.4660189
145,113.249761,23.11114055,113.2615642,23.11454129
146,113.8336383,23.22073636,113.8452253,23.22380423
147,113.3219524,22.8879767,113.3338935,22.89101389
148,113.30034,23.19685478,113.312225,23.20032612
149,113.5565282,22.62760939,113.5681672,22.63040837
150,113.9507727,23.39104631,113.9622594,23.39408559
151,113.6520585,23.14927535,113.6636218,23.15268927
152,113.0248836,23.40824598,113.0367071,23.41202063
153,113.4022055,23.24417907,113.4141631,23.24804401
154,113.9427998,23.77478301,113.9543355,23.77770173
155,113.7356026,23.82648221,113.7473205,23.83002737
156,113.8375591,23.35441849,113.8491239,23.3575775
157,113.3883481,23.59775802,113.4003304,23.60167059
158,113.6600401,23.81170921,113.6717046,23.81504382
159,113.8968724,23.83112262,113.9082888,23.83444575
160,113.7296275,23.45035669,113.741357,23.45384986
