OBJECTID,X_WGS84,Y_WGS84
442,113.634268,22.5746015
443,113.6352496,22.5746015
444,113.6362313,22.5746015
445,113.637213,22.5746015
446,113.6381946,22.5746015
447,113.6391763,22.5746015
448,113.640158,22.5746015
449,113.6411396,22.5746015
450,113.6421213,22.5746015
451,113.643103,22.5746015
452,113.6440846,22.5746015
453,113.6450663,22.5746015
454,113.646048,22.5746015
455,113.6470296,22.5746015
456,113.6480113,22.5746015
457,113.6489929,22.5746015
458,113.6499746,22.5746015
459,113.6509563,22.5746015
460,113.6519379,22.5746015
461,113.6529196,22.5746015
462,113.6539013,22.5746015
463,113.6548829,22.5746015
464,113.6558646,22.5746015
465,113.6568463,22.5746015
466,113.6578279,22.5746015
467,113.6588096,22.5746015
468,113.6597913,22.5746015
469,113.6607729,22.5746015
470,113.6617546,22.5746015
471,113.6627363,22.5746015
472,113.6637179,22.5746015
473,113.6646996,22.5746015
474,113.6656812,22.5746015
475,113.622488,22.57549743
476,113.6234697,22.57549743
477,113.6244513,22.57549743
478,113.625433,22.57549743
479,113.6264147,22.57549743
480,113.6273963,22.57549743
481,113.628378,22.57549743
482,113.6293597,22.57549743
483,113.6303413,22.57549743
484,113.631323,22.57549743
485,113.6323046,22.57549743
486,113.6332863,22.57549743
487,113.634268,22.57549743
488,113.6352496,22.57549743
489,113.6362313,22.57549743
490,113.637213,22.57549743
491,113.6381946,22.57549743
492,113.6391763,22.57549743
493,113.640158,22.57549743
494,113.6411396,22.57549743
495,113.6421213,22.57549743
496,113.643103,22.57549743
497,113.6440846,22.57549743
498,113.6450663,22.57549743
499,113.646048,22.57549743
500,113.6470296,22.57549743
501,113.6480113,22.57549743
502,113.6489929,22.57549743
503,113.6499746,22.57549743
504,113.6509563,22.57549743
505,113.6519379,22.57549743
506,113.6529196,22.57549743
507,113.6539013,22.57549743
508,113.6548829,22.57549743
509,113.6558646,22.57549743
510,113.6568463,22.57549743
511,113.6578279,22.57549743
512,113.6588096,22.57549743
513,113.6597913,22.57549743
514,113.6607729,22.57549743
515,113.6617546,22.57549743
516,113.6627363,22.57549743
517,113.6637179,22.57549743
518,113.6646996,22.57549743
519,113.6656812,22.57549743
520,113.6666629,22.57549743
521,113.6215063,22.57639336
522,113.622488,22.57639336
523,113.6234697,22.57639336
524,113.6244513,22.57639336
525,113.625433,22.57639336
526,113.6264147,22.57639336
527,113.6273963,22.57639336
528,113.628378,22.57639336
529,113.6293597,22.57639336
530,113.6303413,22.57639336
531,113.631323,22.57639336
532,113.6323046,22.57639336
533,113.6332863,22.57639336
534,113.634268,22.57639336
535,113.6352496,22.57639336
536,113.6362313,22.57639336
537,113.637213,22.57639336
538,113.6381946,22.57639336
539,113.6391763,22.57639336
540,113.640158,22.57639336
541,113.6411396,22.57639336
542,113.6421213,22.57639336
543,113.643103,22.57639336
544,113.6440846,22.57639336
545,113.6450663,22.57639336
546,113.646048,22.57639336
547,113.6470296,22.57639336
548,113.6480113,22.57639336
549,113.6489929,22.57639336
550,113.6499746,22.57639336
551,113.6509563,22.57639336
552,113.6519379,22.57639336
553,113.6529196,22.57639336
554,113.6539013,22.57639336
555,113.6548829,22.57639336
556,113.6558646,22.57639336
557,113.6568463,22.57639336
558,113.6578279,22.57639336
559,113.6588096,22.57639336
560,113.6597913,22.57639336
561,113.6607729,22.57639336
562,113.6617546,22.57639336
563,113.6627363,22.57639336
564,113.6637179,22.57639336
565,113.6646996,22.57639336
566,113.6656812,22.57639336
567,113.6666629,22.57639336
568,113.6215063,22.57728929
569,113.622488,22.57728929
570,113.6234697,22.57728929
571,113.6244513,22.57728929
572,113.625433,22.57728929
573,113.6264147,22.57728929
574,113.6273963,22.57728929
575,113.628378,22.57728929
576,113.6293597,22.57728929
577,113.6303413,22.57728929
578,113.631323,22.57728929
579,113.6323046,22.57728929
